reference_id	ref_gene_id	ref_gene_name	SRR2753092	SRR2753098	SRR2753106	SRR2753116
ENST00000296511.10	ENSG00000164111.15	ANXA5	38.551559	60.862646	46.261353	0
ENST00000509648.5	ENSG00000164111.15	ANXA5	0.584585	1.511761	4.790518	2.427187
ENST00000515717.1	ENSG00000164111.15	ANXA5	0.441536	5.523382	0.304468	1.409256
ENST00000511552.5	ENSG00000164111.15	ANXA5	0.180569	0.345483	0.085642	0
ENST00000513428.5	ENSG00000164111.15	ANXA5	0.087008	0.35257	0.373049	0
ENST00000506201.1	ENSG00000123737.13	EXOSC9	2.359134	0.564067	1.590128	0.758334
ENST00000502444.1	ENSG00000138686.10	BBS7	0.944119	0.079114	0	0
ENST00000314218.8	ENSG00000181004.10	BBS12	0.828469	0.412177	0	0
ENST00000446180.5	ENSG00000138688.16	KIAA1109	0.072151	0.102396	0.170047	0
ENST00000470182.1	ENSG00000138688.16	KIAA1109	0.004906	0.447266	0.53148	0.285315
ENST00000480651.1	ENSG00000138688.16	KIAA1109	0.069862	0.147116	0.307093	0.400166
ENST00000483357.1	ENSG00000138688.16	KIAA1109	0.019639	0.206862	0.244468	0
ENST00000442707.1	ENSG00000138688.16	KIAA1109	0.094322	0.116799	0.105244	0.701063
ENST00000491933.1	ENSG00000138688.16	KIAA1109	0.064273	0.131912	0.042116	0
ENST00000675392.1	ENSG00000145375.9	SPATA5	0.126885	0.175838	1.263115	1.527269
ENST00000394339.2	ENSG00000164056.11	SPRY1	44.142312	57.595861	35.521656	34.374228
ENST00000503270.2	ENSG00000248565.2	TECRP2	0.240957	0	0	0.554835
ENST00000504087.6	ENSG00000151458.12	ANKRD50	10.895057	17.390699	4.756856	0
ENST00000634516.1	ENSG00000282855.1	RP11-50D9.4	1.120517	5.528572	6.49831	6.168843
ENST00000491435.2	ENSG00000244021.4	RP11-50D9.1	27.006792	12.077896	21.146003	20.427174
ENST00000565254.1	ENSG00000261668.1	RP11-50D9.3	0.126849	0.503212	0.184518	0.534667
ENST00000503914.1	ENSG00000142731.11	PLK4	0.005912	0.261494	0.381544	0
ENST00000510192.1	ENSG00000142731.11	PLK4	0.691385	1.789976	4.400665	0
ENST00000641003.1	ENSG00000164073.11	MFSD8	0.223709	0.156258	0.01461	0
ENST00000394288.7	ENSG00000138709.19	LARP1B	1.631568	0.854255	0	0
ENST00000432347.6	ENSG00000138709.19	LARP1B	0.069549	1.072454	1.564235	0
ENST00000475247.2	ENSG00000241651.4	RP11-214O14.1	3.688055	1.626943	0	7.787854
ENST00000613358.4	ENSG00000164040.18	PGRMC2	3.500824	5.763892	9.368758	0
ENST00000296425.10	ENSG00000164040.18	PGRMC2	1.456866	3.684744	2.867034	0
ENST00000520121.6	ENSG00000164040.18	PGRMC2	0.674417	1.691826	2.324116	0
ENST00000394276.3	ENSG00000164040.18	PGRMC2	1.731412	1.93436	7.376308	0
ENST00000612976.1	ENSG00000275647.1	RP11-209D20.2	0.041523	0.030245	0	0
ENST00000506566.1	ENSG00000234125.5	EEF1GP8	0.064174	0	0	0.072268
